anchorUserID,username,type,orderTime,content,anchor,,,,,,,,,
167,jd****mr,直播,2019.09.20,一如既往的好辛苦了在多一点时间更完美了,薇娅viya,,,,,,,,,
168,江畅***94,直播,2019.09.17,薇娅姐太棒，带货一流，团队的小哥哥们小姐姐们配合紧密，我看到了一群热血的年轻人！希望长期合作呀！,薇娅viya,,,,,,,,,
169,熊*网,直播,2019.09.16,团队很棒，很有耐心，尤其对接，以前对接了很多机构，对接是耐心和沟通最好最快的，希望有机会网友面基！主播也很给力，对产品的品质，认知能力是很强的。。希望一直合作！我们的供应链完全支持！,薇娅viya,,,,,,,,,
170,熊*网,直播,2019.09.16,团队很棒，很有耐心，尤其对接，以前对接了很多机构，对接是耐心和沟通最好最快的，希望有机会网友面基！主播也很给力，对产品的品质，认知能力是很强的。。希望一直合作！我们的供应链完全支持！,薇娅viya,,,,,,,,,
171,余*杨,直播,2019.09.10,很好！,薇娅viya,,,,,,,,,
172,天*皑,直播,2019.09.06,非常好，非常给力,薇娅viya,,,,,,,,,
173,jd****mr,直播,2019.09.05,好,薇娅viya,,,,,,,,,
174,亲爱***小姐,直播,2019.09.03,带货能力超级强,薇娅viya,,,,,,,,,
175,亲爱***小姐,直播,2019.09.03,带货能力超级强,薇娅viya,,,,,,,,,
176,巅峰***明8,直播,2019.09.03,主播很给力，期待下次合作,薇娅viya,,,,,,,,,
177,a1***59,直播,2019.09.02,效果很好，希望下次继续合作！！,薇娅viya,,,,,,,,,
178,so***婉兜,直播,2019.08.20,非常棒，辛苦了,薇娅viya,,,,,,,,,
179,so***婉兜,直播,2019.08.20,非常棒，辛苦了,薇娅viya,,,,,,,,,
180,茶*茶,直播,2019.08.16,不愧是一姐，选品讲解什么的真的很用心，服,薇娅viya,,,,,,,,,
181,肥*虫,直播,2019.08.15,薇娅的能量大大的,薇娅viya,,,,,,,,,
182,咚咚***直采,直播,2019.08.08,效果真的是很好,薇娅viya,,,,,,,,,
183,六神***任务,直播,2019.08.02,好,薇娅viya,,,,,,,,,
184,百瑞***费用,直播,2019.08.02,薇雅姐姐棒棒的~,薇娅viya,,,,,,,,,
185,周若***她爸,直播,2019.07.31,薇娅小姐姐带货能力超级牛~66666666666,薇娅viya,,,,,,,,,
186,a1***59,直播,2019.07.30,棒~~~,薇娅viya,,,,,,,,,
187,a1***59,直播,2019.07.25,效果很好，期待下次合作鸭！！太赞啦~~,薇娅viya,,,,,,,,,
188,t_***71,直播,2019.07.15,最好最厉害最辛苦的主播,薇娅viya,,,,,,,,,
